article	simple	complex
Ruthless People	56	10962
Alexandertorte	79	1658
2011 Christchurch earthquake	949	120
Adolphe DuglÃ©rÃ©	465	1694
Sean Avery	77	26
Cul-de-sac	72	7773
Daniel Boone	49	1584
International Labour Organization	184	3260
James Graham Brown	68	5404
Social justice	76	7129
Baker County, Oregon	10	3792
Bradford County, Florida	8	439
Bradford County, Pennsylvania	8	3256
Calhoun County	21	939
Calhoun County, Florida	8	599
2011 Daytona 500	78	547
Melrose Place (1992 TV series)	77	23
Speciation	1793	607
Calhoun County, Alabama	8	3998
Dallas (TV series)	67	1415
Calhoun County, Arkansas	8	2752
Calhoun County, Georgia	13	697
Elasmobranchii	90	6811
Persian Wikipedia	68	480
Edward B. Lewis	481	927
Christine Baranski	73	437
General Secretary	178	169
Sid Caesar	49	556
Swallow	90	875
Patti Page	51	69
All My Children	43	2394
Oregon State University	76	2865
Princess Alice, Countess of Athlone	1357	3815
AndrÃ© Theuriet	120	6991
Oliver Smithies	89	3820
Danica McKellar	54	1643
Sleepwalking	348	205
2011 Australian Open	5380	520
Reasonable accommodation	60	1281
List of cities in Iran	9	2706
Category:Kansas counties	8	6128
International Tennis Federation	15	2187
Mashhad	136	16
Calhoun County, Iowa	15	12
Category:Iowa counties	8	545
Calhoun County, Michigan	8	2123
Category:Michigan counties	7	647
True Jackson, VP	129	28
Calhoun County, Mississippi	8	632
Lark	57	21
Ritchie Valens	60	659
Calhoun County, South Carolina	10	446
Wooden horse	77	905
Calhoun County, Texas	13	2541
Calhoun County, West Virginia	14	502
Kenny vs. Spenny	79	393
Kaw people	61	547
Siouan languages	31	906
Category:Delaware counties	7	1237
1000 Ways to Die	37	2179
Crisis	86	713
Dust storm	56	20
Jabiru	68	278
Big Dipper (disambiguation)	23	1125
Greensboro, North Carolina	163	1244
Christie Brinkley	85	565
Mike Bibby	122	21
Vancouver Grizzlies	85	5428
Rango (2011 film)	60	1450
Abigail Breslin	52	713
Cricket World Cup	1649	716
Dicastillo	58	1790
R. Kelly	134	1501
Space Jam	57	3370
DeMarcus Cousins	69	364
Knockout mouse	214	4426
Eleocharis dulcis	59	1145
Gene knockout	178	340
Stewart Haas Racing	45	861
Temple Square	82	532
DNA construct	281	613
This Hour Has 22 Minutes	67	1735
Arnold Bennett	130	1398
George Wald	63	130
Gene targeting	337	2560
Pipit	96	1634
Potter Park Zoo	508	699
Anonymous work	194	644
2011 Tucson shooting	147	1659
Trey Songz	133	1540
Mad About You	66	192
Go Ask Alice	182	4026
National Climatic Data Center	59	1915
Model organism	425	1916
John McGraw	52	2092
History of the Cricket World Cup	980	445
The Huffington Post	31	625
Denim	26	3142
AutÃ³dromo Hermanos RodrÃ­guez	121	2508
Andromeda (constellation)	76	1042
K.d. lang	65	1104
Loretta Lynn	114	999
Microbial mat	479	376
Fiji Hindi	117	2518
Electronic money	175	5045
Yukata	161	3188
Tonkatsu	96	1956
Wilderness Road	37	1145
Iroquois	2085	292
BanachâTarski paradox	107	522
Barney Irwin	70	2756
Annette Bening	65	5531
Dodge Nitro	60	4778
Dodge Journey	55	398
Nissan Cube	53	1066
Nissan Juke	74	1316
Jacques Monod	56	692
Paul Hermann MÃ¼ller	75	1254
Max Theiler	66	803
Jack W. Szostak	76	709
Hoopoe	84	141
Harald zur Hausen	64	650
JosÃ© Bautista	108	415
Category:Pittsburgh Pirates players	19	2269
Reproductive isolation	224	778
Category:Seattle Mariners players	19	1826
Category:Colorado Rockies players	20	18
Lancia Lybra	33	5929
Alcides Escobar	68	21
Kosuke Fukudome	72	22
Wyandotte Constitution	62	331
Ann Jillian	73	366
Era (musical project)	109	1340
Sandwich Islands	57	339
Jessica Tandy	80	1090
Thank Me Later	79	209
Council of Ministers (Soviet Union)	139	43
Stockard Channing	54	1164
Georgy Malenkov	248	3759
Lavrentiy Beria	49	1957
Secret police	59	1454
National Fascist Party	203	1454
Debbie Reynolds	69	5487
Gerald Wallace	237	1237
Thelma &amp; Louise	42	1397
Faye Dunaway	56	1890
Old Melbourne Gaol	293	874
Leukodystrophy	93	1890
Indian Rebellion of 1857	250	844
William Quantrill	67	2862
Jochen Hecht	85	415
Giffen good	138	14140
Lima, Ohio	99	1546
Degrassi: The Next Generation	66	392
Second City Television	118	1595
Tracey Gold	49	5980
Skor	57	7187
Heterozygote advantage	278	5092
Circuito de Jerez	291	1410
Bhangra	209	179
Kia Sorento	43	2093
Paul di Resta	525	318
Chippewa Falls, Wisconsin	13	4619
Ausonius	252	901
Triumvirate	157	897
Boysetsfire	40	958
University of Colorado at Boulder	63	784
Battenberg cake	147	1735
Murphy Brown	39	695
Manuae (Cook Islands)	477	6470
Lancia Thesis	14	272
Hold It Against Me	36	1360
Looting	32	473
Iowa State University	84	862
University of Idaho	62	4533
White matter	211	1207
Fefe Dobson	33	7479
Achondroplasia	170	3716
Working Girl	36	1236
State capitalism	90	2513
Patrick Stump	277	1000
Maureen O'Hara	57	1730
Soul Punk	24	3005
Porcelain (song)	38	1947
Ken Starr	79	1780
Norman Smiley	69	922
Linda B. Buck	56	413
Richard Axel	48	2750
David Baltimore	46	991
Clifford the Big Red Dog	78	315
Nathaniel Gorham	89	807
Rafflesiaceae	36	1475
Righteous Kill	45	259
China Airlines	42	761
Mandarin Airlines	28	610
Chagas disease	149	1422
Raymond Dart	265	2269
Metamorphosis (Hilary Duff album)	29	672
MuchMusic	34	3727
Slant Magazine	36	590
Chris Applebaum	28	4040
Robert Broom	363	1504
Libertarian Party (United States)	51	407
Francisco J. Ayala	129	62
The Sorcerer's Apprentice (2010 film)	136	363
Kevin Dineen	84	3483
Lithuanian Wikipedia	26	797
Chevrolet Avalanche	81	1841
Chris Campoli	60	986
JiÅÃ­ TlustÃ½	73	87
Cradle 2 the Grave	44	960
Ben Carson	73	472
Open Season (film)	56	945
Rosemary Clooney	52	1010
Honda Civic	43	950
Honda Today	36	1816
Norma (constellation)	85	1797
Lethbridge	44	4612
Andy Panda	95	530
Kesarakoni	13	170
Bridgeport Sound Tigers	56	3880
Wilkes-Barre/Scranton Penguins	63	511
Connecticut Whale	76	13
Daniel Dennett	15	425
Manchester Monarchs	71	1218
Devin Hester	78	507
Hunter Cantwell	64	1926
University of Louisville	62	627
University of South Florida	62	3204
West Virginia University	63	609
Acanthodii	105	3930
Villanova University	64	3893
University of Connecticut	73	7612
Seton Hall University	65	572
DePaul University	68	7210
Marquette University	69	5034
Providence College	68	4415
University of Cincinnati	62	4558
University of Wyoming	87	2392
University of Nevada, Las Vegas	81	3702
Carol Channing	78	4477
University of New Mexico	64	4816
University of Iowa	20	3306
San Diego State University	67	1930
Boise State University	71	3311
Troy University	61	3203
Jaclyn Smith	59	3356
University of North Texas	64	2906
Western Kentucky University	78	2542
Kurt Thomas (basketball)	117	2370
The Adjustment Bureau	51	2150
Harmonia Macrocosmica	90	2851
Jane Russell	52	304
Meave Leakey	137	1652
Lake Turkana	373	295
Marie Osmond	78	2438
Louis Leakey	1373	141
Donny Osmond	59	1988
Degree of unsaturation	80	2180
Olduvai Gorge	707	6018
Vermicelli	48	3552
Richard Leakey	1220	215
Arizona State University	61	866
Vanderbilt University	59	702
Louise Leakey	171	2709
Furikake	48	3769
My Darkest Days	43	6725
Betty White	86	215
Homefront (video game)	156	157
Sgt. Slaughter	81	656
Pretty Woman	49	4162
Darko MiliÄiÄ	108	2760
Barbara Walters	72	2643
Category:Detroit Pistons players	20	2745
Category:Orlando Magic players	20	1228
Category:Memphis Grizzlies players	20	2783
Category:Minnesota Timberwolves players	20	23
Category:New York Knicks players	21	18
Category:National Basketball Association players	11	18
UDFy-38135539	49	18
Category:Miami Heat players	20	19
Category:Cleveland Cavaliers players	20	34
Category:Boston Celtics players	20	1504
Category:Los Angeles Lakers players	21	18
Category:Indiana Pacers players	20	18
Category:Chicago Bulls players	20	19
Category:Sacramento Kings players	20	18
Category:Houston Rockets players	20	14
Mira Sorvino	82	18
Dynasty (TV series)	46	18
Category:Utah Jazz players	20	18
Category:Los Angeles Clippers players	21	893
Category:Milwaukee Bucks players	20	4127
Category:Toronto Raptors players	20	18
Category:Denver Nuggets players	20	19
Category:Seattle SuperSonics players	22	18
Category:Phoenix Suns players	20	17
Category:Philadelphia 76ers players	20	21
Category:Charlotte Bobcats players	20	18
Category:Portland Trail Blazers players	21	18
Category:Atlanta Hawks players	20	18
Category:San Antonio Spurs players	21	18
Category:Washington Wizards players	20	19
Hank Gathers	174	18
Category:Golden State Warriors players	21	22
Category:Dallas Mavericks players	20	18
Bulletstorm	114	1454
Wildlife Protection Act of 1972	132	18
Gombe Stream National Park	367	18
Rue McClanahan	48	2289
Lead poisoning	44	429
Bulldozer	40	1735
Grand Duke Alexei Alexandrovich of Russia	224	1500
Provisional Irish Republican Army	85	9274
Toa Payoh	118	1793
Loammi Baldwin	449	8136
Maxime Vachier-Lagrave	45	9801
Eva Mendes	28	1321
Estrildid finch	144	717
Magic Johnson	123	133
University of South Carolina	81	1092
University of Arkansas	74	256
Chevrolet Cruze	41	4495
Lamborghini MurciÃ©lago	51	4360
Ali Abdullah Saleh	99	5359
Lamborghini Diablo	50	2950
Tybalt	24	2366
Lamborghini Jalpa	62	1621
Lamborghini Countach	75	5114
Haloti Ngata	74	629
Alaska North Slope	171	346
Cory Redding	79	2589
Dennis Pitta	59	690
Terrell Suggs	64	230
The Double (Seattle Mariners)	190	536
Derrick Martin	62	691
Southeast Alaska	561	1039
Piers Morgan	103	1298
Nuclear espionage	997	282
Bush airplane	65	838
Abraham Lincoln Presidential Library and Museum	192	2770
Swoosie Kurtz	57	1060
Fin Fang Foom	73	50
Empty Nest	44	1290
Branchiopoda	56	717
Barbara Mandrell	30	1630
American Beauty (film)	44	1117
Alpha and Omega (film)	72	855
Mount Cayley volcanic field	140	3068
Diabetes mellitus type 2	86	13455
Due Date	54	1751
Life as We Know It (film)	45	6319
Unstoppable (2010 film)	71	2477
The Kids Are All Right (film)	48	1444
I Spit on Your Grave (2010 film)	95	902
Couples Retreat	85	2710
The Time Traveler's Wife (film)	83	1395
Paul (film)	69	1812
Megamind	104	1227
Patrick Ewing	66	1447
Black Swan (film)	160	2085
Darren Aronofsky	66	1788
Craig Ferguson	63	2894
Edgar MartÃ­nez	35	3923
Guru Gobind Singh Indraprastha University	104	1954
Anne Heche	55	2864
Anna Pavlova	212	1344
Allegheny Mountains	44	1432
Conflict of interest	25	1471
Karl-Theodor zu Guttenberg	155	2423
Ken Griffey, Jr.	74	3634
Melissa Gilbert	54	2047
Expert	72	1881
Canouan	43	5727
Calgary Transit	239	1595
Saint Vincent (island)	62	2781
Popeyes Chicken &amp; Biscuits	53	793
Carrie-Anne Moss	51	1975
The Wonder Years	49	889
Fordham University	79	694
Long Island University	66	408
Liberty University	63	2145
Cleveland State University	85	7867
University of Dayton	71	1091
University of Denver	60	4328
Horizon League	33	2717
Butler University	67	2580
University of Detroit Mercy	64	3062
University of WisconsinâGreen Bay	65	2664
Loyola University Chicago	64	6541
University of WisconsinâMilwaukee	61	1163
University of Illinois at Chicago	70	850
Valparaiso University	67	2004
Geotechnical engineering	49	4549
Wright State University	71	3632
Youngstown State University	68	3046
Texas Southern University	68	4197
St. Bonaventure University	69	3292
Sacred Heart University	63	2654
Denis Leary	51	2435
Ice Age: The Meltdown	76	1792
Ovarian cancer	67	999
Hollerado	50	2935
American University	61	1585
American Gangster (film)	45	4874
Youthanasia	31	585
Fiat Tipo	30	5095
Lancia	19	4303
Burt Reynolds	71	498
International Commerce Centre	29	808
Vectrex	27	1806
Stephanie zu Guttenberg	304	2140
Ãguas de SÃ£o Pedro	50	444
Dot Jones	356	1083
Scott Walker (politician)	28	358
Andrew Cuomo	45	1696
Pat Quinn (politician)	100	608
WWE SmackDown vs. Raw 2007	143	2851
NCAA Basketball 10	105	2572
NCAA Basketball 09	114	2103
Australia Day	161	1179
Laverne &amp; Shirley	45	247
Penny Marshall	45	68
Shakespeare in Love	51	3961
Ãmer AÅÄ±k	82	2268
Hedo TÃ¼rkoÄlu	135	1137
Mehmet Okur	87	2085
Hiroshima Prefecture	19	826
Iwate Prefecture	17	815
Williams pear	576	646
Maserati MC12	50	201
Enoch Bartlett	104	2461
The Faint	13	932
Binary image	61	3899
United States Tennis Association	108	125
Frances McDormand	50	518
Joan Collins	42	316
Jackie Collins	65	539
Red-shouldered Macaw	71	981
Endometrial cancer	56	3814
Quiet Riot	241	1756
Arthur Christmas	55	473
Arm wrestling	490	1140
It Happened One Night	90	2672
Adam Foote	73	187
Clay County	13	1199
Clay County, Alabama	8	2383
Clay County, Arkansas	8	1015
Clay County, Florida	15	25
TÃ©a Leoni	44	732
Clay County, Georgia	14	918
Crop milk	48	809
Sean Bergenheim	111	723
Morehead State University	64	493
University of Montana â Missoula	74	440
Northern Arizona University	63	522
Big Sky Conference	34	569
Portland State University	62	2669
Eastern Washington University	64	1897
Idaho State University	66	242
University of Northern Colorado	66	2697
California State University, Sacramento	69	835
Weber State University	63	2036
Virginia Commonwealth University	63	2957
Hofstra University	60	2868
Winona State University	46	1501
George Mason University	61	4792
Georgia State University	61	2727
James Madison University	62	1147
BÃ©arnaise sauce	490	5238
Northeastern University	59	3818
Old Dominion University	61	2895
Towson University	60	433
University of North Carolina Wilmington	66	6156
Colonial Athletic Association	34	3771
University of North Carolina at Greensboro	65	3350
East Tennessee State University	65	3341
Campbell University	66	1463
Belmont University	55	4010
Florida Gulf Coast University	65	1943
Jacksonville University	60	1348
Kennesaw State University	63	2285
Lipscomb University	57	4046
Clay County, Illinois	9	1961
Clay County, Indiana	15	3143
Mercer University	62	2225
University of North Florida	61	629
University of South Carolina Upstate	65	1045
Stetson University	56	7145
Atlantic Sun Conference	34	3319
Higher Learning	42	1120
Oomycete	127	3158
Hurricane Helene (1958)	51	135
Garter snake	34	466
James Storm	140	583
Shawn Hernandez	139	591
Albany County, Wyoming	38	1170
Natrona County, Wyoming	38	2952
Manufacturing engineering	75	2727
Nuclear engineering	97	512
Edie Falco	76	592
Cymbeline	51	3244
Systems engineering	86	629
Hurricane Flora	91	1100
Dance-pop	40	2944
Electropop	46	3515
Doc Walker	158	2702
Tree of life (biology)	698	159
Three's Company	48	943
Filmation	38	112
Theriodont	436	1219
Laura Ingraham	57	2963
Peptide bond	33	4629
Repenomamus	220	466
Frederick William III of Prussia	441	1081
Population growth	42	1022
Olathe, Kansas	53	601
2010 United States Census	73	978
SEPTA	47	1053
Mount Pinatubo	82	1534
SEPTA Regional Rail	71	1987
Brookings, South Dakota	52	4197
Mama's Family	49	4802
University of South Dakota	63	4901
South Dakota State University	69	2017
Black Rebel Motorcycle Club	41	1327
DJ Hero	132	1874
NCAA Men's Division I Basketball Championship	225	2159
These Words	59	1496
Jarome Iginla	88	4092
Suze Orman	100	6251
Finding Nemo (video game)	115	1294
Estelle Getty	48	4141
Aqua (band)	53	992
Saturn Vue	49	128
Blister	54	1000
Saturn Outlook	77	3786
Saturn Relay	54	861
Weeds (TV series)	88	1345
The Highwayman (poem)	155	519
Source Code	62	431
Highwayman	38	8837
Narrative poetry	50	715
Category:Oakland Athletics players	20	1593
Bothwell Castle	93	374
Velpur	17	26
Child labour	327	917
Cash crop	44	20
Caulfield, Victoria	312	3322
Stereo MCs	28	636
Stratosphere	70	317
MAC address	80	503
ChloÃ« Sevigny	55	909
Tara Lipinski	51	1609
Anna Freud	547	4939
Chevrolet Express	63	2335
Weatherford, Texas	22	2606
Green River Formation	446	424
Peggy Lee	61	1026
Hurricane Alex (2010)	81	1308
Microvillus	189	1981
Languages of the United States	95	6013
Judith Miller (journalist)	89	859
Gilda Radner	58	7060
September Affair	53	4381
Christopher Mintz-Plasse	34	2758
Jonah Hill	67	504
Cheryl Hines	59	400
Jill Eikenberry	69	600
Kids Help Line	513	588
Zack and Miri Make a Porno	60	682
The Twilight Zone	338	252
Carol Burnett	78	2931
Boy Meets Curl	281	3649
Ball and socket joint	53	2988
Alexandre Ãtienne Choron	365	1899
Sassafras	80	160
Jean-Baptiste-Camille Corot	58	366
Poa pratensis	87	852
Tim Russert	74	4624
Kangaroo Jack	55	399
University of Kentucky	70	3326
Central Connecticut State University	62	1075
University of North Carolina at Charlotte	69	3999
George Hearst	129	337
Dances with Wolves	112	4107
Surfer, Dude	65	883
Meet the Fockers	98	2596
Barcelona Sants railway station	183	119
Template:R from title without diacritics	69	1630
Hampton University	67	510
Bethune-Cookman University	68	69
Bain-marie	526	2236
Creighton University	70	1199
Austin Peay State University	61	541
Mercedes Ruehl	49	1339
University of Akron	63	1060
Eastern Michigan University	61	540
Western Michigan University	71	3683
Central Michigan University	63	4462
Perleberg	42	2351
Northern Illinois University	102	1965
Bowling Green State University	63	231
Kent State University	60	2602
Ohio University	59	4150
St. Cloud State University	39	5038
Ball State University	63	6186
Miami University	79	1807
Colgate University	59	5519
La NiÃ±a	75	3783
Central Committee	118	3065
This Tuesday in Texas	48	727
Perry Saturn	92	213
John Tenta	182	1767
Arthur Griffith	101	2664
Aristide Briand	74	2472
Jimmy Snuka	81	2224
Bill Goldberg	65	824
Sienna Miller	92	2306
Julie Christie	46	4055
2011 TÅhoku earthquake and tsunami	1088	1127
Lea Michele	1061	1660
Cory Monteith	572	7786
Jane Lynch	906	1049
Husband	120	587
Michael Kort	74	996
Freezing rain	38	1547
Operation (mathematics)	39	110
The 39 Clues	918	1231
First-person narrative	47	776
Jacksonwald, Pennsylvania	29	3578
Monica (entertainer)	45	970
Wanda Sykes	46	15
Perilla	53	3291
Jake Roberts	84	1090
Mike Krzyzewski	148	1158
Glenn Ford	700	5526
Randy Savage	132	1576
Lynne Ewing	248	2034
Shemp Howard	183	6682
Moorhead, Minnesota	108	233
Red Grange	168	1732
Caddyshack	46	1353
Bull Durham	62	1752
Ostracod	217	3151
Urban decay	91	2791
Aerobic	19	963
Mark Magnus	255	1496
WWE SmackDown! vs. Raw 2006	99	19
WWE SmackDown vs. Raw 2008	140	1500
Single White Female	32	2498
WWE SmackDown! vs. Raw	114	2233
Peter Jennings	51	772
Scram	25	832
Sorrel	193	7018
Category:Leaf vegetables	11	1460
Rock Springs, Wyoming	73	551
Buffalo, Wyoming	28	20
Electron transport chain	166	1226
David Carradine	453	703
Jack Palance	425	3618
Avian incubation	68	5060
Vagrancy (biology)	72	1768
Kamaishi, Iwate	93	618
Fukushima, Fukushima	51	468
Burt Lancaster	540	968
Fairly Legal	81	247
CSI: Crime Scene Investigation	55	1623
The Sandman (wrestler)	112	463
Chris Candido	131	3893
Mark Appleyard	57	4007
Pierre-Luc Gagnon	70	1096
Ol' Dirty Bastard	94	298
Gibsons, British Columbia	90	221
Dev (singer)	33	2137
Courtenay, British Columbia	83	610
December 2010 North American blizzard	453	1196
Tom Zbikowski	73	3637
James Hardy (American football)	73	2788
Ed Dickson	60	528
Saving Private Ryan	38	625
Brendon Ayanbadejo	56	318
Brandon Jones (American football)	106	4020
Andre Ramsey	53	600
Matt Stover	102	182
Reflex arc	59	213
Joseph Gordon-Levitt	36	614
Danny Glover	63	388
Christian art	132	2699
Tony Danza	62	2493
Samantha Eggar	399	1064
John McDouall Stuart	2259	1023
Clayton Moore	264	471
Courtney Thorne-Smith	52	3833
Stan Laurel	362	1066
Page-turner	152	627
Jim Thorpe	262	1866
Backlash (2006)	57	167
Backlash (2005)	46	4908
Lepidosauria	37	2797
Backlash (2003)	55	2469
Casineria	141	43
Protoclepsydrops	83	2766
Paleothyris	102	551
Amy Brenneman	61	89
Westlothiana	258	112
Magic Kingdom	515	765
Archaeothyris	240	309
Ray Milland	371	2429
Canine tooth	74	258
Premolar	45	1219
Waterpark	446	835
January 31 â February 2, 2011 North American winter storm	817	209
Adam West	462	676
MediaWiki:Gadget-searchFocus.js	43	5587
MediaWiki:Gadget-searchFocus	13	2050
Mike Lockwood	80	53
Bo Derek	249	13
Matt Hyson	91	1830
Jessica Lange	49	976
Lumbricus terrestris	125	1644
Davey Boy Smith	74	682
Glen Ruth	58	665
Charles Warrington	59	4084
Joel McCrea	330	528
Oliver Hardy	219	738
Loni Anderson	65	1336
Vampiro	41	2459
Eartha Kitt	27	485
Morganucodon	518	1990
Mahayana	7	2076
August Belmont	1070	490
Parmigiana	615	5216
Veal	687	1113
Hyssop	1029	622
